analyte,sample_number,unit_note,value
potassium,P1.0007,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,261.21
calcium,P1.0007,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,35.8894
chromium,P1.0007,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00282828
iron,P1.0007,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.839729
manganese,P1.0007,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00616162
copper,P1.0007,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0262121
zinc,P1.0007,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0252525
magnesium,P1.0007,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.192026
arsenic,P1.0007,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,7.19081
selenium,P1.0007,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.029893
bromine,P1.0007,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,10.3911
strontium,P1.0007,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.232927
molybdenum,P1.0007,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0283026
silver,P1.0007,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00168552
barium,P1.0007,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.123695
lead,P1.0007,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.000200288
hydrogen sulphide,P1.0007,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.01
nitrate,P1.0007,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.024
ammonium,P1.0007,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.113
sulfate,P1.0007,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,50.0
chloride,P1.0007,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,2081.0
phosphate,P1.0007,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.55
lithium,P1.0008,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,19.754
boron,P1.0008,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,41.9797
sodium,P1.0008,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,1167.09
aluminium,P1.0008,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.634242
silicon,P1.0008,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,260.324
potassium,P1.0008,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,271.707
calcium,P1.0008,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,36.6
vanadium,P1.0008,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00222222
chromium,P1.0008,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.00373737
iron,P1.0008,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,1.07365
manganese,P1.0008,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0069697
copper,P1.0008,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0616162
zinc,P1.0008,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.0227273
magnesium,P1.0008,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,0.132119
arsenic,P1.0008,ppm_or_mg_per_l_except_CO_H2_CH4_as_microM,7.30348
